game,result,kills,deaths,damage,mvp,hour
1,1,1,1,5647,1,20
2,0,1,2,3560,0,20
3,1,0,1,2151,0,20
4,0,1,2,2423,0,20
5,1,2,0,3955,1,20
6,0,0,1,2834,0,20
7,0,0,2,1860,0,20
8,1,2,0,4368,1,20
9,1,3,0,3460,0,20
10,0,0,1,2613,0,20
11,0,1,0,2815,0,12
12,1,1,1,3569,1,12
13,0,0,2,2873,0,12
14,1,2,1,3613,0,12
15,1,1,0,2844,0,12
16,1,1,1,3275,0,12
17,0,0,2,1935,0,12
18,1,1,1,2532,1,12
19,1,1,1,4170,0,12
20,1,2,0,3776,0,12
21,1,3,0,3118,1,11
22,0,2,1,3463,0,11
23,0,2,1,4712,0,11
24,1,2,0,3555,0,11
25,0,0,2,1909,0,11
26,0,1,1,2950,0,11
27,1,2,0,3569,1,11
28,1,2,2,2562,0,11
29,1,0,1,3065,0,11
30,0,0,2,2100,0,11
31,1,2,0,6868,1,11
32,1,3,0,4531,1,11
