game,result,kills,deaths,damage,mvp,hour,type
1,1,1,1,5647,1.0,20,
2,1,2,2,2562,,11,2v2天梯
3,1,0,1,3065,,11,2v2天梯
4,0,1,2,3560,0.0,20,
5,1,0,1,2151,0.0,20,
6,0,0,2,2100,,11,2v2天梯
7,1,2,0,6868,1.0,11,2v2天梯
8,0,1,2,2423,0.0,20,
9,1,2,0,3955,1.0,20,
10,1,3,0,4531,1.0,11,2v2天梯
11,0,0,1,2834,0.0,20,
12,1,1,0,3726,,16,2v2天梯
13,0,1,2,2263,,16,2v2天梯
14,0,0,2,1860,0.0,20,
15,1,2,0,4368,1.0,20,
16,0,1,1,4934,,16,2v2天梯
17,0,1,1,3071,,16,2v2天梯
18,1,3,0,3460,0.0,20,
19,0,0,1,2613,0.0,20,
20,1,2,1,5098,1.0,16,2v2天梯
21,0,0,1,2261,,16,2v2匹配
22,0,1,0,2815,0.0,12,
23,1,1,1,3569,1.0,12,
24,0,0,1,2779,,16,2v2匹配
25,0,1,1,3181,,16,2v2匹配
26,0,0,2,2873,0.0,12,
27,1,2,1,3613,0.0,12,
28,1,1,0,4546,1.0,19,2v2匹配
29,0,1,1,3474,,19,2v2匹配
30,1,1,0,2844,0.0,12,
31,1,1,1,3275,0.0,12,
32,1,0,1,4780,1.0,19,2v2匹配
33,0,0,2,1935,0.0,12,
34,0,0,1,3886,,19,2v2匹配
35,1,1,0,3752,1.0,19,2v2匹配
36,1,1,1,2532,1.0,12,
37,1,1,1,4170,0.0,12,
38,1,1,1,4342,1.0,19,2v2匹配
39,1,1,0,5798,1.0,19,2v2匹配
40,1,2,0,3776,0.0,12,
41,1,3,0,3118,1.0,11,
42,0,0,2,2546,,19,2v2匹配
43,1,1,0,4320,,19,2v2匹配
44,0,2,1,3463,0.0,11,
45,0,2,1,4712,0.0,11,
46,1,2,1,3506,,19,2v2匹配
47,0,0,2,3236,,19,2v2匹配
48,1,2,0,3555,0.0,11,
49,0,0,2,1909,0.0,11,
50,0,1,1,2882,,19,2v2匹配
51,1,2,1,4176,,19,2v2匹配
52,0,1,1,2950,0.0,11,
53,1,2,0,3569,1.0,11,
54,0,0,1,4049,,19,2v2匹配
55,1,2,0,2288,,19,2v2匹配
56,0,0,2,2216,,11,2v2匹配
57,0,0,1,2187,,11,2v2匹配
58,1,1,1,3086,,11,2v2匹配
59,0,0,1,4609,,11,2v2匹配
60,1,1,1,3927,1.0,11,2v2匹配
61,0,0,1,2266,,11,2v2匹配
62,0,0,1,1608,,11,2v2匹配
63,1,1,1,2126,,11,2v2匹配
64,0,0,2,973,,11,2v2匹配
65,1,2,1,5516,1.0,11,2v2匹配
66,0,0,2,1837,,11,2v2匹配
67,1,3,1,3125,1.0,10,2v2匹配
68,1,2,1,5722,1.0,10,2v2匹配
69,1,2,1,2967,,10,2v2匹配
70,1,1,1,2857,,10,2v2匹配
71,0,0,1,3095,,10,2v2匹配
72,1,3,0,3804,1.0,12,2v2匹配
73,1,1,1,2530,,12,2v2匹配
74,1,0,0,4124,,12,2v2匹配
75,1,1,0,3463,,12,2v2匹配
76,0,2,2,3758,,12,2v2匹配
77,0,0,2,2163,,11,2v2匹配
78,0,1,1,2404,,11,2v2匹配
79,0,0,1,1731,,11,2v2匹配
80,1,1,0,3891,,18,2v2匹配
81,0,0,2,3617,,18,2v2匹配
82,0,2,2,2806,,18,2v2匹配
83,0,1,1,2926,,17,2v2匹配
84,1,3,0,3233,1.0,13,2v2天梯
85,1,0,0,3925,1.0,13,2v2天梯
86,0,1,2,3140,,12,2v2天梯
87,0,0,1,3590,,12,2v2天梯
88,1,2,0,4174,,12,2v2天梯
89,0,1,1,2497,,12,2v2天梯
90,0,0,1,3272,,12,2v2天梯
91,0,0,1,2247,,12,2v2天梯
92,1,1,1,2705,,12,2v2天梯
93,1,2,1,4045,,12,2v2天梯
94,0,2,1,4803,,15,2v2天梯
95,0,1,1,4227,,15,2v2天梯
