时序,字1,字1_拼音,字1_辅音1,字1_元音1,字1_辅音2,字1_元音2,字2,字2_拼音,字2_辅音1,字2_元音1,字2_辅音2,字2_元音2,字3,字3_拼音,字3_辅音1,字3_元音1,字3_辅音2,字3_元音2,字4,字4_拼音,字4_辅音1,字4_元音1,字4_辅音2,字4_元音2,辅_b,辅_p,辅_m,辅_f,辅_d,辅_t,辅_n,辅_l,辅_g,辅_k,辅_h,辅_j,辅_q,辅_x,辅_zh,辅_ch,辅_sh,辅_r,辅_z,辅_c,辅_s,辅_y,辅_w,辅_ng,辅_∅,元_a,元_o,元_e,元_i,元_u,元_ü
1,提,ti,t,i,,,米,mi,m,i,,,丹,dan,d,a,n,,婆,po,p,o,,,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
1,比,bi,b,i,,,利,li,l,i,,,坎,kan,k,a,n,,阔,kuo,k,u,,o,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
1,诶,ei,∅,e,,i,爱,ai,∅,a,,i,巴,ba,b,a,,,德,de,d,e,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
2,邸,di,d,i,,,鹭,lu,l,u,,,遮,zhe,zh,e,,,鲁,lu,l,u,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
2,比,bi,b,i,,,喜,xi,x,i,,,丹,dan,d,a,n,,摩,mo,m,o,,,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
2,比,bi,b,i,,,凯,kai,k,a,,i,芙,fu,f,u,,,塔,ta,t,a,,,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
3,希,xi,x,i,,,米,mi,m,i,,,詹,zhan,zh,a,n,,摩,mo,m,o,,,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
3,苦,ku,k,u,,,利,li,l,i,,,库,ku,k,u,,,察,cha,ch,a,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
3,奥,ao,∅,a,,o,托,tuo,t,u,,o,巴,ba,b,a,,,勒,lei,l,e,,i,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
4,修,xiu,x,i,,u,尔,er,∅,e,r,,比,bi,b,i,,,达,da,d,a,,,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0
4,比,bi,b,i,,,密,mi,m,i,,,梵,fan,f,a,n,,托,tuo,t,u,,o,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
4,阿,a,∅,a,,,利,li,l,i,,,佰,bai,b,a,,i,斯,si,s,i,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
5,邸,di,d,i,,,窟,ku,k,u,,,差,cha,ch,a,,,钵,bo,b,o,,,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
5,奥,ao,∅,a,,o,由,you,y,o,,u,维,wei,w,e,,i,塔,ta,t,a,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0
5,库,ku,k,u,,,伦,lun,l,u,n,,米,mi,m,i,,,特,te,t,e,,,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
6,爱,ai,∅,a,,i,米,mi,m,i,,,巴,ba,b,a,,,喇,la,l,a,,,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
6,邸,di,d,i,,,由,you,y,o,,u,巴,ba,b,a,,,沃,wo,w,o,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0
6,库,ku,k,u,,,利,li,l,i,,,几,ji,j,i,,,札,zha,zh,a,,,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
