时序,字1,字1_拼音,字1_韵母,字1_姬,字2,字2_拼音,字2_韵母,字2_姬,字3,字3_拼音,字3_韵母,字3_姬,字4,字4_拼音,字4_韵母,字4_姬,太姬,玄姬,美姬,希姬,祈姬,妙姬
1,提,ti,i,美姬,米,mi,i,美姬,丹,dan,an,太姬,婆,po,o,妙姬,1,0,1,0,0,1
1,比,bi,i,美姬,利,li,i,美姬,坎,kan,an,太姬,阔,kuo,uo,祈姬,1,0,1,0,1,0
1,诶,ei,ei,希姬,爱,ai,ai,太姬,巴,ba,a,太姬,德,de,e,希姬,1,0,0,1,0,0
2,邸,di,i,美姬,鹭,lu,u,祈姬,遮,zhe,e,希姬,鲁,lu,u,祈姬,0,0,1,1,1,0
2,比,bi,i,美姬,喜,xi,i,美姬,丹,dan,an,太姬,摩,mo,o,妙姬,1,0,1,0,0,1
2,比,bi,i,美姬,凯,kai,ai,太姬,芙,fu,u,祈姬,塔,ta,a,太姬,1,0,1,0,1,0
3,希,xi,i,美姬,米,mi,i,美姬,詹,zhan,an,太姬,摩,mo,o,妙姬,1,0,1,0,0,1
3,苦,ku,u,祈姬,利,li,i,美姬,库,ku,u,祈姬,察,cha,a,太姬,1,0,1,0,1,0
3,奥,ao,ao,玄姬,托,tuo,uo,祈姬,巴,ba,a,太姬,勒,lei,ei,希姬,1,1,0,1,1,0
4,修,xiu,iu,美姬,尔,er,er,希姬,比,bi,i,美姬,达,da,a,太姬,1,0,1,1,0,0
4,比,bi,i,美姬,密,mi,i,美姬,梵,fan,an,太姬,托,tuo,uo,祈姬,1,0,1,0,1,0
4,阿,a,a,太姬,利,li,i,美姬,佰,bai,ai,太姬,斯,si,i,美姬,1,0,1,0,0,0
5,邸,di,i,美姬,窟,ku,u,祈姬,差,cha,a,太姬,钵,bo,o,妙姬,1,0,1,0,1,1
5,奥,ao,ao,玄姬,由,you,ou,玄姬,维,wei,ei,希姬,塔,ta,a,太姬,1,1,0,1,0,0
5,库,ku,u,祈姬,伦,lun,un,祈姬,米,mi,i,美姬,特,te,e,希姬,0,0,1,1,1,0
6,爱,ai,ai,太姬,米,mi,i,美姬,巴,ba,a,太姬,喇,la,a,太姬,1,0,1,0,0,0
6,邸,di,i,美姬,由,you,ou,玄姬,巴,ba,a,太姬,沃,wo,o,妙姬,1,1,1,0,0,1
6,库,ku,u,祈姬,利,li,i,美姬,几,ji,i,美姬,札,zha,a,太姬,1,0,1,0,1,0
7,弘,hong,ong,妙姬,达,da,a,太姬,芙,fu,u,祈姬,邸,di,i,美姬,1,0,1,0,1,1
7,爱,ai,ai,太姬,伦,lun,un,祈姬,爱,ai,ai,太姬,仆,pu,u,祈姬,1,0,0,0,1,0
7,格,ge,e,希姬,伦,lun,un,祈姬,巴,ba,a,太姬,德,de,e,希姬,1,0,0,1,1,0
8,修,xiu,iu,美姬,姆,mu,u,祈姬,邸,di,i,美姬,仆,pu,u,祈姬,0,0,1,0,1,0
8,格,ge,e,希姬,林,lin,in,美姬,札,zha,a,太姬,德,de,e,希姬,1,0,1,1,0,0
8,吽,hong,ong,妙姬,托,tuo,uo,祈姬,梵,fan,an,太姬,卜,bo,o,妙姬,1,0,0,0,1,1
9,希,xi,i,美姬,利,li,i,美姬,札,zha,a,太姬,哈,ha,a,太姬,1,0,1,0,0,0
9,米,mi,i,美姬,尔,er,er,希姬,特,te,e,希姬,林,lin,in,美姬,0,0,1,1,0,0
9,几,ji,i,美姬,仆,pu,u,祈姬,几,ji,i,美姬,仆,pu,u,祈姬,0,0,1,0,1,0
10,提,ti,i,美姬,罗,luo,uo,祈姬,梵,fan,an,太姬,陀,tuo,uo,祈姬,1,0,1,0,1,0
10,吡,bi,i,美姬,罗,luo,uo,祈姬,梵,fan,an,太姬,陀,tuo,uo,祈姬,1,0,1,0,1,0
10,盎,ang,ang,太姬,罗,luo,uo,祈姬,梵,fan,an,太姬,德,de,e,希姬,1,0,0,1,1,0
